123456 49.0 64.0 95.0 67.0 85.0 48.0 70.0 66.0 58.0 83.0 2.7
223434 85.0 40.0 57.0 93.0 69.0 74.0 58.0 78.0 66.0 44.0 2.7
234345 90.0 67.0 61.0 77.0 100.0 68.0 66.0 43.0 79.0 85.0 2.9
443566 70.0 42.0 52.0 44.0 47.0 99.0 90.0 51.0 72.0 83.0 2.6
556635 71.0 40.0 89.0 45.0 51.0 68.0 97.0 46.0 59.0 88.0 2.6
654324 77.0 92.0 90.0 64.0 47.0 50.0 40.0 89.0 81.0 75.0 2.8
656786 71.0 62.0 52.0 78.0 99.0 65.0 94.0 63.0 87.0 69.0 3.0
905334 42.0 86.0 84.0 98.0 67.0 81.0 97.0 60.0 71.0 77.0 3.1
987542 54.0 80.0 47.0 86.0 99.0 65.0 76.0 88.0 45.0 82.0 2.9
987987 53.0 95.0 43.0 63.0 83.0 77.0 40.0 97.0 87.0 42.0 2.7
Input File Size: 379
Output File Size: 480
